"","plotID","plotID_Lids","lidsFinal","mortonOrder","siteID","nlcdClass","plotType","subtype","moduleCode","plotCode","latitude_centroid","longitude_centroid","easting_centroid","northing_centroid","datum","utmZone","easting_end","northing_end","wkt"
"13","SCBI_049","SCBI_049_1",280,1482,"SCBI","","tower","basePlot","T","SCBI_049_T",38.894615,-78.13964,748072.637,4308971.817,"WGS84","17N",747833.328716018,4309014.01350717,"LINESTRING(748072.637 4308971.817,747833.328716018 4309014.01350717)"
"14","SCBI_049","SCBI_049_2",40,1482,"SCBI","","tower","basePlot","T","SCBI_049_T",38.894615,-78.13964,748072.637,4308971.817,"WGS84","17N",748228.834389154,4309157.96579968,"LINESTRING(748072.637 4308971.817,748228.834389154 4309157.96579968)"
"15","SCBI_049","SCBI_049_3",160,1482,"SCBI","","tower","basePlot","T","SCBI_049_T",38.894615,-78.13964,748072.637,4308971.817,"WGS84","17N",748155.747894828,4308743.47169315,"LINESTRING(748072.637 4308971.817,748155.747894828 4308743.47169315)"
"16","SCBI_050","SCBI_050_1",110,1610,"SCBI","","tower","basePlot","T","SCBI_050_T",38.890602,-78.142227,747862.17,4308519.411,"WGS84","17N",748090.515306851,4308436.30010517,"LINESTRING(747862.17 4308519.411,748090.515306851 4308436.30010517)"
"17","SCBI_050","SCBI_050_2",230,1610,"SCBI","","tower","basePlot","T","SCBI_050_T",38.890602,-78.142227,747862.17,4308519.411,"WGS84","17N",747676.021200322,4308363.21361085,"LINESTRING(747862.17 4308519.411,747676.021200322 4308363.21361085)"
"18","SCBI_050","SCBI_050_3",350,1610,"SCBI","","tower","basePlot","T","SCBI_050_T",38.890602,-78.142227,747862.17,4308519.411,"WGS84","17N",747819.973492827,4308758.71928398,"LINESTRING(747862.17 4308519.411,747819.973492827 4308758.71928398)"
"19","SCBI_051","SCBI_051_1",350,1802,"SCBI","","tower","basePlot","T","SCBI_051_T",38.892471,-78.142806,747805.47,4308725.207,"WGS84","17N",747763.273492827,4308964.51528398,"LINESTRING(747805.47 4308725.207,747763.273492827 4308964.51528398)"
"20","SCBI_051","SCBI_051_2",110,1802,"SCBI","","tower","basePlot","T","SCBI_051_T",38.892471,-78.142806,747805.47,4308725.207,"WGS84","17N",748033.815306851,4308642.09610517,"LINESTRING(747805.47 4308725.207,748033.815306851 4308642.09610517)"
"21","SCBI_051","SCBI_051_3",230,1802,"SCBI","","tower","basePlot","T","SCBI_051_T",38.892471,-78.142806,747805.47,4308725.207,"WGS84","17N",747619.321200322,4308569.00961085,"LINESTRING(747805.47 4308725.207,747619.321200322 4308569.00961085)"
"22","SCBI_052","SCBI_052_1",280,2757,"SCBI","","tower","basePlot","T","SCBI_052_T",38.889137,-78.137096,748312.41,4308370.721,"WGS84","17N",748073.101716018,4308412.91750717,"LINESTRING(748312.41 4308370.721,748073.101716018 4308412.91750717)"
"23","SCBI_052","SCBI_052_2",40,2757,"SCBI","","tower","basePlot","T","SCBI_052_T",38.889137,-78.137096,748312.41,4308370.721,"WGS84","17N",748468.607389154,4308556.86979968,"LINESTRING(748312.41 4308370.721,748468.607389154 4308556.86979968)"
"24","SCBI_052","SCBI_052_3",160,2757,"SCBI","","tower","basePlot","T","SCBI_052_T",38.889137,-78.137096,748312.41,4308370.721,"WGS84","17N",748395.520894828,4308142.37569315,"LINESTRING(748312.41 4308370.721,748395.520894828 4308142.37569315)"
"25","SCBI_053","SCBI_053_1",240,4426,"SCBI","","tower","basePlot","T","SCBI_053_T",38.889773,-78.140518,748013.262,4308431.952,"WGS84","17N",747802.81782688,4308310.452,"LINESTRING(748013.262 4308431.952,747802.81782688 4308310.452)"
"26","SCBI_053","SCBI_053_2",0,4426,"SCBI","","tower","basePlot","T","SCBI_053_T",38.889773,-78.140518,748013.262,4308431.952,"WGS84","17N",748013.262,4308674.952,"LINESTRING(748013.262 4308431.952,748013.262 4308674.952)"
"27","SCBI_053","SCBI_053_3",120,4426,"SCBI","","tower","basePlot","T","SCBI_053_T",38.889773,-78.140518,748013.262,4308431.952,"WGS84","17N",748223.70617312,4308310.452,"LINESTRING(748013.262 4308431.952,748223.70617312 4308310.452)"
"28","SCBI_054","SCBI_054_1",350,7242,"SCBI","","tower","basePlot","T","SCBI_054_T",38.890803,-78.137674,748256.441,4308554.114,"WGS84","17N",748214.244492827,4308793.42228398,"LINESTRING(748256.441 4308554.114,748214.244492827 4308793.42228398)"
"29","SCBI_054","SCBI_054_2",110,7242,"SCBI","","tower","basePlot","T","SCBI_054_T",38.890803,-78.137674,748256.441,4308554.114,"WGS84","17N",748484.786306851,4308471.00310517,"LINESTRING(748256.441 4308554.114,748484.786306851 4308471.00310517)"
"30","SCBI_054","SCBI_054_3",230,7242,"SCBI","","tower","basePlot","T","SCBI_054_T",38.890803,-78.137674,748256.441,4308554.114,"WGS84","17N",748070.292200322,4308397.91661085,"LINESTRING(748256.441 4308554.114,748070.292200322 4308397.91661085)"
"31","SCBI_055","SCBI_055_1",260,7370,"SCBI","","tower","basePlot","T","SCBI_055_T",38.892469,-78.140415,748012.834,4308731.5,"WGS84","17N",747773.525716018,4308689.30349283,"LINESTRING(748012.834 4308731.5,747773.525716018 4308689.30349283)"
"32","SCBI_055","SCBI_055_2",20,7370,"SCBI","","tower","basePlot","T","SCBI_055_T",38.892469,-78.140415,748012.834,4308731.5,"WGS84","17N",748095.944894828,4308959.84530685,"LINESTRING(748012.834 4308731.5,748095.944894828 4308959.84530685)"
"33","SCBI_055","SCBI_055_3",140,7370,"SCBI","","tower","basePlot","T","SCBI_055_T",38.892469,-78.140415,748012.834,4308731.5,"WGS84","17N",748169.031389154,4308545.35120032,"LINESTRING(748012.834 4308731.5,748169.031389154 4308545.35120032)"
"34","SCBI_056","SCBI_056_1",150,7562,"SCBI","","tower","basePlot","T","SCBI_056_T",38.89035,-78.1436,747743.965,4308487.692,"WGS84","17N",747865.465,4308277.24782688,"LINESTRING(747743.965 4308487.692,747865.465 4308277.24782688)"
"35","SCBI_056","SCBI_056_2",270,7562,"SCBI","","tower","basePlot","T","SCBI_056_T",38.89035,-78.1436,747743.965,4308487.692,"WGS84","17N",747500.965,4308487.692,"LINESTRING(747743.965 4308487.692,747500.965 4308487.692)"
"36","SCBI_056","SCBI_056_3",30,7562,"SCBI","","tower","basePlot","T","SCBI_056_T",38.89035,-78.1436,747743.965,4308487.692,"WGS84","17N",747865.465,4308698.13617312,"LINESTRING(747743.965 4308487.692,747865.465 4308698.13617312)"
"37","SCBI_057","SCBI_057_1",30,8778,"SCBI","","tower","basePlot","T","SCBI_057_T",38.891377,-78.141161,747951.946,4308608.316,"WGS84","17N",748073.446,4308818.76017312,"LINESTRING(747951.946 4308608.316,748073.446 4308818.76017312)"
"38","SCBI_057","SCBI_057_2",150,8778,"SCBI","","tower","basePlot","T","SCBI_057_T",38.891377,-78.141161,747951.946,4308608.316,"WGS84","17N",748073.446,4308397.87182688,"LINESTRING(747951.946 4308608.316,748073.446 4308397.87182688)"
"39","SCBI_057","SCBI_057_3",270,8778,"SCBI","","tower","basePlot","T","SCBI_057_T",38.891377,-78.141161,747951.946,4308608.316,"WGS84","17N",747708.946,4308608.316,"LINESTRING(747951.946 4308608.316,747708.946 4308608.316)"
"40","SCBI_058","SCBI_058_1",220,11082,"SCBI","","tower","basePlot","T","SCBI_058_T",38.889714,-78.138472,748190.954,4308431.016,"WGS84","17N",748034.756610846,4308244.86720032,"LINESTRING(748190.954 4308431.016,748034.756610846 4308244.86720032)"
"41","SCBI_058","SCBI_058_2",340,11082,"SCBI","","tower","basePlot","T","SCBI_058_T",38.889714,-78.138472,748190.954,4308431.016,"WGS84","17N",748107.843105172,4308659.36130685,"LINESTRING(748190.954 4308431.016,748107.843105172 4308659.36130685)"
"42","SCBI_058","SCBI_058_3",100,11082,"SCBI","","tower","basePlot","T","SCBI_058_T",38.889714,-78.138472,748190.954,4308431.016,"WGS84","17N",748430.262283982,4308388.81949283,"LINESTRING(748190.954 4308431.016,748430.262283982 4308388.81949283)"
"43","SCBI_061","SCBI_061_1",220,25930,"SCBI","","tower","basePlot","T","SCBI_061_T",38.889507,-78.142209,747867.564,4308397.861,"WGS84","17N",747711.366610846,4308211.71220032,"LINESTRING(747867.564 4308397.861,747711.366610846 4308211.71220032)"
"44","SCBI_061","SCBI_061_2",340,25930,"SCBI","","tower","basePlot","T","SCBI_061_T",38.889507,-78.142209,747867.564,4308397.861,"WGS84","17N",747784.453105172,4308626.20630685,"LINESTRING(747867.564 4308397.861,747784.453105172 4308626.20630685)"
"45","SCBI_061","SCBI_061_3",100,25930,"SCBI","","tower","basePlot","T","SCBI_061_T",38.889507,-78.142209,747867.564,4308397.861,"WGS84","17N",748106.872283982,4308355.66449283,"LINESTRING(747867.564 4308397.861,748106.872283982 4308355.66449283)"
"46","SCBI_062","SCBI_062_1",100,29130,"SCBI","","tower","basePlot","T","SCBI_062_T",38.895117,-78.138236,748192.603,4309031.349,"WGS84","17N",748431.911283982,4308989.15249283,"LINESTRING(748192.603 4309031.349,748431.911283982 4308989.15249283)"
"47","SCBI_062","SCBI_062_2",220,29130,"SCBI","","tower","basePlot","T","SCBI_062_T",38.895117,-78.138236,748192.603,4309031.349,"WGS84","17N",748036.405610846,4308845.20020032,"LINESTRING(748192.603 4309031.349,748036.405610846 4308845.20020032)"
"48","SCBI_062","SCBI_062_3",340,29130,"SCBI","","tower","basePlot","T","SCBI_062_T",38.895117,-78.138236,748192.603,4309031.349,"WGS84","17N",748109.492105172,4309259.69430685,"LINESTRING(748192.603 4309031.349,748109.492105172 4309259.69430685)"
"49","SCBI_063","SCBI_063_1",90,32202,"SCBI","","tower","basePlot","T","SCBI_063_T",38.89618,-78.138517,748164.6,4309148.663,"WGS84","17N",748407.6,4309148.663,"LINESTRING(748164.6 4309148.663,748407.6 4309148.663)"
"50","SCBI_063","SCBI_063_2",210,32202,"SCBI","","tower","basePlot","T","SCBI_063_T",38.89618,-78.138517,748164.6,4309148.663,"WGS84","17N",748043.1,4308938.21882688,"LINESTRING(748164.6 4309148.663,748043.1 4308938.21882688)"
"51","SCBI_063","SCBI_063_3",330,32202,"SCBI","","tower","basePlot","T","SCBI_063_T",38.89618,-78.138517,748164.6,4309148.663,"WGS84","17N",748043.1,4309359.10717312,"LINESTRING(748164.6 4309148.663,748043.1 4309359.10717312)"
"52","SCBI_064","SCBI_064_1",180,46154,"SCBI","","tower","basePlot","T","SCBI_064_T",38.891613,-78.139038,748135.291,4308640.222,"WGS84","17N",748135.291,4308397.222,"LINESTRING(748135.291 4308640.222,748135.291 4308397.222)"
"53","SCBI_064","SCBI_064_2",300,46154,"SCBI","","tower","basePlot","T","SCBI_064_T",38.891613,-78.139038,748135.291,4308640.222,"WGS84","17N",747924.84682688,4308761.722,"LINESTRING(748135.291 4308640.222,747924.84682688 4308761.722)"
"54","SCBI_064","SCBI_064_3",60,46154,"SCBI","","tower","basePlot","T","SCBI_064_T",38.891613,-78.139038,748135.291,4308640.222,"WGS84","17N",748345.73517312,4308761.722,"LINESTRING(748135.291 4308640.222,748345.73517312 4308761.722)"
"55","SCBI_066","SCBI_066_1",250,64202,"SCBI","","tower","basePlot","T","SCBI_066_T",38.893509,-78.138971,748134.508,4308850.881,"WGS84","17N",747906.162693149,4308767.77010517,"LINESTRING(748134.508 4308850.881,747906.162693149 4308767.77010517)"
"56","SCBI_066","SCBI_066_2",10,64202,"SCBI","","tower","basePlot","T","SCBI_066_T",38.893509,-78.138971,748134.508,4308850.881,"WGS84","17N",748176.704507173,4309090.18928398,"LINESTRING(748134.508 4308850.881,748176.704507173 4309090.18928398)"
"57","SCBI_066","SCBI_066_3",130,64202,"SCBI","","tower","basePlot","T","SCBI_066_T",38.893509,-78.138971,748134.508,4308850.881,"WGS84","17N",748320.656799678,4308694.68361085,"LINESTRING(748134.508 4308850.881,748320.656799678 4308694.68361085)"
"58","SCBI_067","SCBI_067_1",200,5,"SCBI","","tower","basePlot","T","SCBI_067_T",38.893934,-78.135517,748432.619,4308907.437,"WGS84","17N",748349.508105172,4308679.09169315,"LINESTRING(748432.619 4308907.437,748349.508105172 4308679.09169315)"
"59","SCBI_067","SCBI_067_2",320,5,"SCBI","","tower","basePlot","T","SCBI_067_T",38.893934,-78.135517,748432.619,4308907.437,"WGS84","17N",748276.421610846,4309093.58579968,"LINESTRING(748432.619 4308907.437,748276.421610846 4309093.58579968)"
"60","SCBI_067","SCBI_067_3",80,5,"SCBI","","tower","basePlot","T","SCBI_067_T",38.893934,-78.135517,748432.619,4308907.437,"WGS84","17N",748671.927283982,4308949.63350717,"LINESTRING(748432.619 4308907.437,748671.927283982 4308949.63350717)"
